岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
JAVA工程师-智慧物流（实习）,100-150/天,本科,实习3个月,长沙,：1.参与公司软件产品的设计与开发；2.根据公司的开发规范要求，完成相关开发任务；3.按照需求进行软件设计和编码实现，确保软件的安全、质量和性能；4.进行单元测试、以及开发的集成测试等工作；5.分析并解决项目中的程序问题,：1.2023届毕业生，计算机科学、软件工程、自动化等相关专业，本科及以上学历，专业知识扎实；2.熟悉java语言，了解J2EE体系架构，数据结构算法基础扎实；3.了解Mysql、Oracle等关系型数据库的一种；4.积极乐观、善于学习，具备团队精神，有责任心，乐于分享技术与经验，能承担一定的工作压力；5.能够根据工作需要出差,：1.2023届毕业生，计算机科学、软件工程、自动化等相关专业，本科及以上学历，专业知识扎实；2.熟悉java语言，了解J2EE体系架构，数据结构算法基础扎实；3.了解Mysql、Oracle等关系型数据库的一种；4.积极乐观、善于学习，具备团队精神，有责任心，乐于分享技术与经验，能承担一定的工作压力；5.能够根据工作需要出差
JAVA开发工程师（实习）（MJ004988）,100-150/天,本科,实习3个月,广州,：1、负责数据统计BI系统WEB后端接口开发；2、根据业务需求和规划，与前端沟通确定开发需求，按计划高质量交付系统,：1、本科及以上学历，计算机相关专业；2、精通Java语言，流程设计，深入理解各种开源框架如springboot、hibernate、MyBatis、springmvc；3、掌握SQL，Mysql，Excel；5、熟悉Linux开发环境，熟练配置维护Nginx/Tomcat等服务，掌握shell脚本工具；6、责任心强，保密意识好，具有数据敏感度，优秀的逻辑思维能力，有较强学习能力及团队协作精神，并能承受较大的工作压力；7、有前端开发经验者优先；8、尽快到岗，至少实习6个月，一周出勤4-5天,：1、本科及以上学历，计算机相关专业；2、精通Java语言，流程设计，深入理解各种开源框架如springboot、hibernate、MyBatis、springmvc；3、掌握SQL，Mysql，Excel；5、熟悉Linux开发环境，熟练配置维护Nginx/Tomcat等服务，掌握shell脚本工具；6、责任心强，保密意识好，具有数据敏感度，优秀的逻辑思维能力，有较强学习能力及团队协作精神，并能承受较大的工作压力；7、有前端开发经验者优先；8、尽快到岗，至少实习6个月，一周出勤4-5天
JAVA开发实习生-智能工厂,150-250/天,硕士,实习5个月,杭州,：1.熟悉项目开发流程；2.根据开发规范与流程独立完成详细设计，编码，测试及相关文档；3.按产品或项目要求进行技术开发，能独立完成模块分析设计；4.完成负责人交办的其他工作。任职要求：1、熟悉Spring、Mybatis等框架，熟悉SpringBoot开发框架；2、熟悉Maven管理工具，Tomcat、nginx等中间件；3、熟悉Java多线程开发和线程池使用；4、熟悉Linux环境，熟悉搭建Git服务器进行代码管理，熟悉定位跟踪日志,进行技术开发，能独立完成模块分析设计；4.完成负责人交办的其他工作,进行技术开发，能独立完成模块分析设计；4.完成负责人交办的其他工作
JAVA开发工程师（23届）,150-200/天,不限,实习3个月,北京,：1、参与车联网云平台核心系统(车控、应用配置、车辆告警)产品研发；2、负责所研发产品\模块的高效迭代，包括需求评审、系统设计、单元测试、运行跟踪和持续优化；3、定期整理知识文档，主动分享学习心得,,
Java开发工程师_00008-05,100-180/天,本科,实习6个月,广州,,,
java初级软件开发工程师,100-200/天,不限,实习3个月,广州,,,
JAVA软件开发工程师(实习生),100-200/天,本科,实习4个月,南京,： 1、负责跨境电商交易平台产品功能设计与研发工作； 2、负责平台日常问题跟踪及处理； 3、参与研发部门技术积累、难题解决等工作；   岗位要求： 1、计算机相关专业本科及以上学历； 2、具备扎实的Java基本功，了解JVM基本原理，类加载，反射，集合，并发，IO等内容； 3、具备良好的面向对象编程经验，理解OOD、OOP思想； 4、掌握主流开源框架如Spring、Spring MVC、Springboot、MyBatis等； 5、掌握常用数据库（Oracle、Mysql）使用，具备SQL分析和调优能力； 6、具备较强的分析思考能力，能够正确理解需求及设计文档的实现要求； 7、沟通能力强、有良好的团队协作精神、有责任心、有激情、乐于分享,： 1、计算机相关专业本科及以上学历； 2、具备扎实的Java基本功，了解JVM基本原理，类加载，反射，集合，并发，IO等内容； 3、具备良好的面向对象编程经验，理解OOD、OOP思想； 4、掌握主流开源框架如Spring、Spring MVC、Springboot、MyBatis等； 5、掌握常用数据库（Oracle、Mysql）使用，具备SQL分析和调优能力； 6、具备较强的分析思考能力，能够正确理解需求及设计文档的实现要求； 7、沟通能力强、有良好的团队协作精神、有责任心、有激情、乐于分享,： 1、计算机相关专业本科及以上学历； 2、具备扎实的Java基本功，了解JVM基本原理，类加载，反射，集合，并发，IO等内容； 3、具备良好的面向对象编程经验，理解OOD、OOP思想； 4、掌握主流开源框架如Spring、Spring MVC、Springboot、MyBatis等； 5、掌握常用数据库（Oracle、Mysql）使用，具备SQL分析和调优能力； 6、具备较强的分析思考能力，能够正确理解需求及设计文档的实现要求； 7、沟通能力强、有良好的团队协作精神、有责任心、有激情、乐于分享
Java开发工程师（23届）,200-400/天,本科,实习6个月,成都,：参与国家主战装备研发平台开发岗位要求：1. 本科及以上学历，计算机及相关专业；2. Java 数据结构基础扎实、逻辑思维清晰；3. 熟悉面向对象概念、方法及设计文档编写；4. 熟悉 Linux 操作系统，如 Linux 服务端程序设计、调试和优化,：1. 本科及以上学历，计算机及相关专业；2. Java 数据结构基础扎实、逻辑思维清晰；3. 熟悉面向对象概念、方法及设计文档编写；4. 熟悉 Linux 操作系统，如 Linux 服务端程序设计、调试和优化,：1. 本科及以上学历，计算机及相关专业；2. Java 数据结构基础扎实、逻辑思维清晰；3. 熟悉面向对象概念、方法及设计文档编写；4. 熟悉 Linux 操作系统，如 Linux 服务端程序设计、调试和优化
工具开发程序员（Java/Go）,120-150/天,本科,实习4个月,福州,,：1、本科及以上学历，计算机相关专业；2、熟悉C/Java/Golang开发语言；3、热爱计算机编程，英语阅读能力强，具备探索新技术的能力，优秀的学习能力,：1、本科及以上学历，计算机相关专业；2、熟悉C/Java/Golang开发语言；3、热爱计算机编程，英语阅读能力强，具备探索新技术的能力，优秀的学习能力
工具开发程序员（Java/Go）,120-150/天,本科,实习4个月,福州,,：1、本科及以上学历，计算机大数据相关专业；2、熟悉Java开发语言，Hadoop大数据相关专业优先考虑；3、热爱计算机编程，英语阅读能力强，具备探索新技术的能力，优秀的学习能力,：1、本科及以上学历，计算机大数据相关专业；2、熟悉Java开发语言，Hadoop大数据相关专业优先考虑；3、热爱计算机编程，英语阅读能力强，具备探索新技术的能力，优秀的学习能力
Java开发实习生(电商平台),180-250/天,本科,实习4个月,上海,,,
Java 课程设计实习生,200-250/天,本科,实习3个月,杭州,  - 参与 Java  相关的课程教学内容制作,  - 实习期至少为 3 个月，6 个月为宜,  - 实习期至少为 3 个月，6 个月为宜
Java开发工程师（前端开发）,150-180/天,本科,实习6个月,西安,"：1. Deliver engineering results timely, including software moduledesign, coding, UT, etc按照要求完成系统功能开发，包括软件模块方案设计，编码实现，单元测试等内容2. Write functional documentation (Ex.design, development and testdocumentation)编写功能相关文档，包括设计、开发、测试文档","：1. Bachelor/Master degree in computer science or relatedfield具有计算机相关专业本科或硕士学历2. Familiar with Java, javascript, springmvc, Web sevice. Goodcode habits熟练使用java,javascript,springmvc，熟悉Web sevice开发","：1. Bachelor/Master degree in computer science or relatedfield具有计算机相关专业本科或硕士学历2. Familiar with Java, javascript, springmvc, Web sevice. Goodcode habits熟练使用java,javascript,springmvc，熟悉Web sevice开发"
【22届】Java开发工程师,120-180/天,本科,实习6个月,长沙,  1、参与项目功能实现及模块开发； 2、改进系统的稳定性及易用性，提升用户体验； 3、跟踪调研前瞻技术，持续进行产品创新；   二、岗位要求： 1、正规全日制统招学历，学历学位学信网可查； 2、良好的学习能力和结构化系统思维能力； 3、良好的团队合作意识和工作责任心； 4、一定的创新思维和解决问题能力； 5、具备主动学习的意识和自我管理意识； 6、获得四、六级英语专业证书且在校成绩；  模型算法方向的，学数学、西方哲学的小研究僧、小博士们，我们格外欢迎哟，不用担心不会编程，统统可以教！！！    三、应聘方式：    a、招聘专场：现场宣讲、简历投递、笔试、面试；   一、企业概况：        北京思特奇信息技术股份有限公司成立于1995年，是一家提供电信级软件和运营服务的上市公司（SZ.300608），目前人员规模3000人+，公司官网 。si-tech是全国大数据排名50强、北京软件和信息服务综合实力百强企业、CMMI5级认证、ITSS资质，双软认证、信息系统集成与服务一级资质、国内IT认证资质和高新技术企业。是四大电信运营商战略合作伙伴，目前提供的产品及服务承载的客户量超过10亿，为中国民族软件龙头企业,： 1、正规全日制统招学历，学历学位学信网可查； 2、良好的学习能力和结构化系统思维能力； 3、良好的团队合作意识和工作责任心； 4、一定的创新思维和解决问题能力； 5、具备主动学习的意识和自我管理意识； 6、获得四、六级英语专业证书且在校成绩；  模型算法方向的，学数学、西方哲学的小研究僧、小博士们，我们格外欢迎哟，不用担心不会编程，统统可以教！！！    三、应聘方式：    a、招聘专场：现场宣讲、简历投递、笔试、面试；   一、企业概况：        北京思特奇信息技术股份有限公司成立于1995年，是一家提供电信级软件和运营服务的上市公司（SZ.300608），目前人员规模3000人+，公司官网 ,： 1、正规全日制统招学历，学历学位学信网可查； 2、良好的学习能力和结构化系统思维能力； 3、良好的团队合作意识和工作责任心； 4、一定的创新思维和解决问题能力； 5、具备主动学习的意识和自我管理意识； 6、获得四、六级英语专业证书且在校成绩；  模型算法方向的，学数学、西方哲学的小研究僧、小博士们，我们格外欢迎哟，不用担心不会编程，统统可以教！！！    三、应聘方式：    a、招聘专场：现场宣讲、简历投递、笔试、面试；   一、企业概况：        北京思特奇信息技术股份有限公司成立于1995年，是一家提供电信级软件和运营服务的上市公司（SZ.300608），目前人员规模3000人+，公司官网 
Java开发工程师【2022届】,100-200/天,本科,实习6个月,武汉,,,
2021届Java开发实习生,120-200/天,大专,实习3个月,南京,,编制开发过程中必须的各种开发文档；3、参与开发过程中的技术预研，解决产品开发过程中的关键技术问题；4、参与产品的技术支持工作；  岗位要求：1、 大专及学历以上，软件、计算机、通信、信息管理、网络工程等相关专业优先；2、 具备较强的自我管理能力、沟通能力以及团队协作精神，良好的职业素养与敬业精神,编制开发过程中必须的各种开发文档；3、参与开发过程中的技术预研，解决产品开发过程中的关键技术问题；4、参与产品的技术支持工作；  岗位要求：1、 大专及学历以上，软件、计算机、通信、信息管理、网络工程等相关专业优先；2、 具备较强的自我管理能力、沟通能力以及团队协作精神，良好的职业素养与敬业精神
Java开发工程师-物联网,200-300/天,不限,实习3个月,北京,：1、接触物联网先进的技术和架构体系，参与高并发应用平台的架构和开发；2、根据产品及物联网的发展需求，完成各种物联网自研项目的架构搭建和编码工作；3、与项目组成员配合进行模块间的联合调试；4、书写开发过程所需的技术文档；5、根据业务发展的要求，完成项目的性能改进，达到支持大访问量，大数据量的要求,，完成项目的性能改进，达到支持大访问量，大数据量的要求,，完成项目的性能改进，达到支持大访问量，大数据量的要求
Java开发实习生（2022届）,150-180/天,本科,实习3个月,南京,,,
Java开发实习生（22届）,150-180/天,本科,实习4个月,南京,： 1、负责产品功能开发； 2、遵循公司技术标准、规范，高质量完成设计、开发任务，熟悉正则表达式； 3、参与研发部门技术积累、技术难题解决等工作；  职位要求： 1、本科或以上学历，计算机及相关专业； 2、熟练掌握Java，MySQL数据库； 3、有较强的沟通和学习能力，积极主动、有工作责任心和团队合作意识，能承受一定的工作压力,： 1、本科或以上学历，计算机及相关专业； 2、熟练掌握Java，MySQL数据库； 3、有较强的沟通和学习能力，积极主动、有工作责任心和团队合作意识，能承受一定的工作压力,： 1、本科或以上学历，计算机及相关专业； 2、熟练掌握Java，MySQL数据库； 3、有较强的沟通和学习能力，积极主动、有工作责任心和团队合作意识，能承受一定的工作压力
JAVA软件工程师（23届）,200-250/天,大专,实习6个月,南京,,,
Java开发工程师（2022届）,150-200/天,本科,实习6个月,广州,：参与计算机软件项目和产品的设计、研发工作,：1、本科及以上学历，计算机相关专业，通过CET-4；2、熟悉JAVA、J2EE规范，熟悉B/S三层结构系统的开发，熟悉AJAX、JSON、 JavaScript、Jquery、HTML5、CSS、Vue、XML等WEB应用技术；3、熟悉微服务框架、SSM、SSH等开源框架；4、熟悉Tomcat、WebLogic、JBoss等应用服务器，熟悉MySQL/Oracle/SQL Server中的一种或多种数据库；5、职业素质：敬业、刻苦好学、具备良好的团队合作精神、沟通交互和协调能力,：1、本科及以上学历，计算机相关专业，通过CET-4；2、熟悉JAVA、J2EE规范，熟悉B/S三层结构系统的开发，熟悉AJAX、JSON、 JavaScript、Jquery、HTML5、CSS、Vue、XML等WEB应用技术；3、熟悉微服务框架、SSM、SSH等开源框架；4、熟悉Tomcat、WebLogic、JBoss等应用服务器，熟悉MySQL/Oracle/SQL Server中的一种或多种数据库；5、职业素质：敬业、刻苦好学、具备良好的团队合作精神、沟通交互和协调能力
java开发实习生（2023届）,120-150/天,本科,实习6个月,成都,】 1. 负责项目开发工作，协助产品市场调研和需求分析工作；  2. 负责代码编写、单元测试、代码维护工作；  3. 负责该项目前后台的功能模块设计和系统架构设计,,
京东工业Java软件开发工程师,200-250/天,本科,实习3个月,北京,,,
软件开发工程师(java方向)实习生,250-400/天,本科,实习3个月,北京,,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越
软件开发工程师（java方向）实习生,250-400/天,本科,实习3个月,北京,,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越
软件开发工程师（java方向）实习生,250-400/天,本科,实习3个月,北京,,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越,：1.熟练掌握Java编程语言，熟悉Linux开发环境；2.熟悉Web服务开发，了解Web服务框架，了解Web安全；3.扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；4.了解常见的分布式存储计算框架；5.有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越
Java前端web网页软件开发,180-300/天,不限,实习3个月,成都,；1.能够根据页面设计效果图熟练完成切图和HTML，DIV+CSS重构；；2.分析用户使用偏好，设计用户体验和用户界面；3.与后台工程师合作，实现系统整合和技术实。4.认真高效完成领导交办其他事项,,
Java开发实习生（对日软件开发）,80-120/天,本科,实习6个月,武汉,,，根据设计书完成JAVA开发的工作2、有分布式系统开发经验，精通springboot、vue、redis等分布式常用技术栈的优先 任职要求：1、计算机、数学等相关专业本科及以上学历；2、有JAVA/JSP/SERVLET/.net编程学习基础或实践经历，有框架开发经验者优先；3、熟练掌握web开发技术；4、熟悉SQL Server、Oracle或My sql数据库，熟悉数据库编程；5、学习能力优秀，逻辑性较强，乐于分享交流；6、愿意学习日语；7、目前招2023届，可长期实习的应届毕业生,，根据设计书完成JAVA开发的工作2、有分布式系统开发经验，精通springboot、vue、redis等分布式常用技术栈的优先 任职要求：1、计算机、数学等相关专业本科及以上学历；2、有JAVA/JSP/SERVLET/.net编程学习基础或实践经历，有框架开发经验者优先；3、熟练掌握web开发技术；4、熟悉SQL Server、Oracle或My sql数据库，熟悉数据库编程；5、学习能力优秀，逻辑性较强，乐于分享交流；6、愿意学习日语；7、目前招2023届，可长期实习的应届毕业生
Java开发实习生（23届-广州）,180-250/天,本科,实习6个月,广州,,准确编写各项功能的完整代码，并完成单元测试；3、对系统业务和技术架构有一定认识，能够独立解决软件开发、测试、维护中发现的大部分问题； 任职资格：1、2023届本科或以上学历，计算机相关专业，了解软件开发流程,准确编写各项功能的完整代码，并完成单元测试；3、对系统业务和技术架构有一定认识，能够独立解决软件开发、测试、维护中发现的大部分问题； 任职资格：1、2023届本科或以上学历，计算机相关专业，了解软件开发流程
Java开发实习生（23届-深圳）,180-250/天,本科,实习10个月,深圳,,准确编写各项功能的完整代码，并完成单元测试；3、对系统业务和技术架构有一定认识，能够独立解决软件开发、测试、维护中发现的大部分问题； 任职资格：1、2023届本科或以上学历，计算机相关专业，了解软件开发流程,准确编写各项功能的完整代码，并完成单元测试；3、对系统业务和技术架构有一定认识，能够独立解决软件开发、测试、维护中发现的大部分问题； 任职资格：1、2023届本科或以上学历，计算机相关专业，了解软件开发流程
